City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
412,sorong,-0.8833,131.25,298.5,86,100,0.38,ID,1675100245
413,acajutla,13.5928,-89.8275,303.61,46,4,4.72,SV,1675100246
414,high level,58.5169,-117.136,256.21,85,100,1.03,CA,1675100247
415,krasnoselkup,65.7,82.4667,253.78,90,100,5.6,RU,1675100247
416,kutum,14.2,24.6667,298.32,12,72,4.34,SD,1675100247
417,bang saphan,11.2126,99.5117,294.74,67,28,2.38,TH,1675100248
418,suez,29.9737,32.5263,288.85,43,2,5.1,EG,1675100248
419,luganville,-15.5333,167.1667,298.47,84,100,2.19,VU,1675100249
420,eureka,40.8021,-124.1637,279.49,32,0,2.2,US,1675100208
421,soyo,-6.1349,12.3689,299.45,80,81,3.43,AO,1675100026
422,kozova,49.4354,25.1509,272.06,61,100,6.34,UA,1675100250
423,alamos,27.0167,-108.9333,295.77,23,100,2.47,MX,1675100251
424,ambon,-3.6954,128.1814,298.23,94,40,1.54,ID,1675100251
425,hay river,60.8156,-115.7999,252.14,77,75,0.51,CA,1675100252
426,gaoua,10.2992,-3.2508,304.42,10,90,2.15,BF,1675100252
427,sangueya,10.7,-14.3667,303.16,35,91,4.56,GN,1675100253
428,roblin,51.23,-101.3565,252.33,85,84,5.02,CA,1675100253
429,manyana,-23.4,21.7167,297.84,51,75,2.13,BW,1675100254
430,lago da pedra,-4.3333,-45.1667,301.2,77,64,0.57,BR,1675100255
431,sinnamary,5.3833,-52.95,298.84,83,66,3.78,GF,1675100255
432,ballyhaunis,53.7667,-8.7667,281.92,93,75,5.14,IE,1675100256
433,turukhansk,65.8167,87.9833,250.67,96,100,4.81,RU,1675100256
434,mnogovershinnyy,53.9353,139.9242,247.4,82,100,3.63,RU,1675100256
435,santa marta,11.2408,-74.199,305.18,52,20,4.92,CO,1675100257
436,launceston,-41.45,147.1667,288.23,82,40,2.57,AU,1675100257
437,bani walid,31.7566,13.9942,284.89,55,35,5.95,LY,1675100258
438,unity,52.4501,-109.1682,254.96,96,95,3.67,CA,1675100258
439,rabo de peixe,37.8,-25.5833,286.88,72,75,4.63,PT,1675100259
440,roncesvalles,4.0108,-75.6049,291.47,64,96,2.01,CO,1675100259
441,xiamen,24.4798,118.0819,283.85,66,0,1.0,CN,1675100260
442,gat,31.61,34.7642,286.7,100,1,2.86,IL,1675099980
443,santa cruz del sur,20.7147,-77.9956,302.68,48,4,5.68,CU,1675100261
444,soma,39.1855,27.6094,275.16,79,51,2.17,TR,1675100261
445,touros,-5.1989,-35.4608,302.94,57,39,7.37,BR,1675100262
446,maceio,-9.6658,-35.7353,304.84,58,40,6.17,BR,1675100225
